   ,DIST_CODE,DIST_NAME,CITY
1,110000,北京市,北京市
2,110100,市辖区,市辖区
3,110101,东城区,北京市
4,110102,西城区,北京市
5,110103,崇文区,崇文区
6,110104,宣武区,宣武区
7,110105,朝阳区,北京市
8,110106,丰台区,北京市
9,110107,石景山区,北京市
10,110108,海淀区,北京市
11,110109,门头沟区,北京市
12,110111,房山区,北京市
13,110112,通州区,北京市
14,110113,顺义区,北京市
15,110114,昌平区,北京市
16,110115,大兴区,北京市
17,110116,怀柔区,北京市
18,110117,平谷区,北京市
19,110118,密云区,北京市
20,110119,延庆区,北京市
21,110200,县,县
22,110228,密云县,密云县
23,110229,延庆县,延庆县
24,120000,天津市,天津市
25,120100,市辖区,市辖区
26,120101,和平区,天津市
27,120102,河东区,天津市
28,120103,河西区,天津市
29,120104,南开区,天津市
30,120105,河北区,天津市
31,120106,红桥区,天津市
32,120107,塘沽区,塘沽区
33,120108,汉沽区,汉沽区
34,120109,大港区,大港区
35,120110,东丽区,天津市
36,120111,西青区,天津市
37,120112,津南区,天津市
38,120113,北辰区,天津市
39,120114,武清区,天津市
40,120115,宝坻区,天津市
41,120116,滨海新区,天津市
42,120117,宁河区,天津市
43,120118,静海区,天津市
44,120119,蓟州区,天津市
45,120200,县,县
46,120221,宁河县,宁河县
47,120223,静海县,静海县
48,120225,蓟县,蓟县
49,130000,河北省,河北省
50,130100,石家庄市,石家庄市
51,130101,市辖区,市辖区
52,130102,长安区,石家庄市
53,130103,桥东区,桥东区
54,130104,桥西区,石家庄市
55,130105,新华区,石家庄市
56,130107,井陉矿区,石家庄市
57,130108,裕华区,石家庄市
58,130109,藁城区,石家庄市
59,130110,鹿泉区,石家庄市
60,130111,栾城区,石家庄市
61,130121,井陉县,石家庄市
62,130123,正定县,石家庄市
63,130124,栾城县,栾城县
64,130125,行唐县,石家庄市
65,130126,灵寿县,石家庄市
66,130127,高邑县,石家庄市
67,130128,深泽县,石家庄市
68,130129,赞皇县,石家庄市
69,130130,无极县,石家庄市
70,130131,平山县,石家庄市
71,130132,元氏县,石家庄市
72,130133,赵县,石家庄市
73,130181,辛集市,石家庄市
74,130182,藁城市,藁城市
75,130183,晋州市,石家庄市
76,130184,新乐市,石家庄市
77,130185,鹿泉市,鹿泉市
78,130200,唐山市,唐山市
79,130201,市辖区,市辖区
80,130202,路南区,唐山市
81,130203,路北区,唐山市
82,130204,古冶区,唐山市
83,130205,开平区,唐山市
84,130207,丰南区,唐山市
85,130208,丰润区,唐山市
86,130209,曹妃甸区,唐山市
87,130223,滦县,唐山市
88,130224,滦南县,唐山市
89,130225,乐亭县,唐山市
90,130227,迁西县,唐山市
91,130229,玉田县,唐山市
92,130230,唐海县,唐海县
93,130281,遵化市,唐山市
94,130283,迁安市,唐山市
95,130284,滦州市,唐山市
96,130300,秦皇岛市,秦皇岛市
97,130301,市辖区,市辖区
98,130302,海港区,秦皇岛市
99,130303,山海关区,秦皇岛市
100,130304,北戴河区,秦皇岛市
101,130306,抚宁区,秦皇岛市
102,130321,青龙满族自治县,秦皇岛市
103,130322,昌黎县,秦皇岛市
104,130323,抚宁县,抚宁县
105,130324,卢龙县,秦皇岛市
106,130400,邯郸市,邯郸市
107,130401,市辖区,市辖区
108,130402,邯山区,邯郸市
109,130403,丛台区,邯郸市
110,130404,复兴区,邯郸市
111,130406,峰峰矿区,邯郸市
112,130407,肥乡区,邯郸市
113,130408,永年区,邯郸市
114,130421,邯郸县,邯郸县
115,130423,临漳县,邯郸市
116,130424,成安县,邯郸市
117,130425,大名县,邯郸市
118,130426,涉县,邯郸市
119,130427,磁县,邯郸市
120,130428,肥乡县,肥乡县
121,130429,永年县,永年县
122,130430,邱县,邯郸市
123,130431,鸡泽县,邯郸市
124,130432,广平县,邯郸市
125,130433,馆陶县,邯郸市
126,130434,魏县,邯郸市
127,130435,曲周县,邯郸市
128,130481,武安市,邯郸市
129,130500,邢台市,邢台市
130,130501,市辖区,市辖区
131,130502,襄都区,邢台市
132,130503,信都区,邢台市
133,130505,任泽区,邢台市
134,130506,南和区,邢台市
135,130521,邢台县,邢台市
136,130522,临城县,邢台市
137,130523,内丘县,邢台市
138,130524,柏乡县,邢台市
139,130525,隆尧县,邢台市
140,130526,任县,邢台市
141,130527,南和县,邢台市
142,130528,宁晋县,邢台市
143,130529,巨鹿县,邢台市
144,130530,新河县,邢台市
145,130531,广宗县,邢台市
146,130532,平乡县,邢台市
147,130533,威县,邢台市
148,130534,清河县,邢台市
149,130535,临西县,邢台市
150,130581,南宫市,邢台市
151,130582,沙河市,邢台市
152,130600,保定市,保定市
153,130601,市辖区,市辖区
154,130602,竞秀区,保定市
155,130603,北市区,北市区
156,130604,南市区,南市区
157,130606,莲池区,保定市
158,130607,满城区,保定市
159,130608,清苑区,保定市
160,130609,徐水区,保定市
161,130621,满城县,满城县
162,130622,清苑县,清苑县
163,130623,涞水县,保定市
164,130624,阜平县,保定市
165,130625,徐水县,徐水县
166,130626,定兴县,保定市
167,130627,唐县,保定市
168,130628,高阳县,保定市
169,130629,容城县,保定市
170,130630,涞源县,保定市
171,130631,望都县,保定市
172,130632,安新县,保定市
173,130633,易县,保定市
174,130634,曲阳县,保定市
175,130635,蠡县,保定市
176,130636,顺平县,保定市
177,130637,博野县,保定市
178,130638,雄县,保定市
179,130681,涿州市,保定市
180,130682,定州市,保定市
181,130683,安国市,保定市
182,130684,高碑店市,保定市
183,130700,张家口市,张家口市
184,130701,市辖区,市辖区
185,130702,桥东区,张家口市
186,130703,桥西区,张家口市
187,130705,宣化区,张家口市
188,130706,下花园区,张家口市
189,130708,万全区,张家口市
190,130709,崇礼区,张家口市
191,130721,宣化县,宣化县
192,130722,张北县,张家口市
193,130723,康保县,张家口市
194,130724,沽源县,张家口市
195,130725,尚义县,张家口市
196,130726,蔚县,张家口市
197,130727,阳原县,张家口市
198,130728,怀安县,张家口市
199,130729,万全县,万全县
200,130730,怀来县,张家口市
201,130731,涿鹿县,张家口市
202,130732,赤城县,张家口市
203,130733,崇礼县,崇礼县
204,130800,承德市,承德市
205,130801,市辖区,市辖区
206,130802,双桥区,承德市
207,130803,双滦区,承德市
208,130804,鹰手营子矿区,承德市
209,130821,承德县,承德市
210,130822,兴隆县,承德市
211,130823,平泉县,平泉县
212,130824,滦平县,承德市
213,130825,隆化县,承德市
214,130826,丰宁满族自治县,承德市
215,130827,宽城满族自治县,承德市
216,130828,围场满族蒙古族自治县,承德市
217,130881,平泉市,承德市
218,130900,沧州市,沧州市
219,130901,市辖区,市辖区
220,130902,新华区,沧州市
221,130903,运河区,沧州市
222,130921,沧县,沧州市
223,130922,青县,沧州市
224,130923,东光县,沧州市
225,130924,海兴县,沧州市
226,130925,盐山县,沧州市
227,130926,肃宁县,沧州市
228,130927,南皮县,沧州市
229,130928,吴桥县,沧州市
230,130929,献县,沧州市
231,130930,孟村回族自治县,沧州市
232,130981,泊头市,沧州市
233,130982,任丘市,沧州市
234,130983,黄骅市,沧州市
235,130984,河间市,沧州市
236,131000,廊坊市,廊坊市
237,131001,市辖区,市辖区
238,131002,安次区,廊坊市
239,131003,广阳区,廊坊市
240,131022,固安县,廊坊市
241,131023,永清县,廊坊市
242,131024,香河县,廊坊市
243,131025,大城县,廊坊市
244,131026,文安县,廊坊市
245,131028,大厂回族自治县,廊坊市
246,131081,霸州市,廊坊市
247,131082,三河市,廊坊市
248,131100,衡水市,衡水市
249,131101,市辖区,市辖区
250,131102,桃城区,衡水市
251,131103,冀州区,衡水市
252,131121,枣强县,衡水市
253,131122,武邑县,衡水市
254,131123,武强县,衡水市
255,131124,饶阳县,衡水市
256,131125,安平县,衡水市
257,131126,故城县,衡水市
258,131127,景县,衡水市
259,131128,阜城县,衡水市
260,131181,冀州市,冀州市
261,131182,深州市,衡水市
262,139000,省直辖县级行政区划,省直辖县级行政区划
263,139001,定州市,定州市
264,139002,辛集市,辛集市
265,140000,山西省,山西省
266,140100,太原市,太原市
267,140101,市辖区,市辖区
268,140105,小店区,太原市
269,140106,迎泽区,太原市
270,140107,杏花岭区,太原市
271,140108,尖草坪区,太原市
272,140109,万柏林区,太原市
273,140110,晋源区,太原市
274,140121,清徐县,太原市
275,140122,阳曲县,太原市
276,140123,娄烦县,太原市
277,140181,古交市,太原市
278,140200,大同市,大同市
279,140201,市辖区,市辖区
280,140202,城区,大同市
281,140203,矿区,大同市
282,140211,南郊区,大同市
283,140212,新荣区,大同市
284,140213,平城区,大同市
285,140214,云冈区,大同市
286,140215,云州区,大同市
287,140221,阳高县,大同市
288,140222,天镇县,大同市
289,140223,广灵县,大同市
290,140224,灵丘县,大同市
291,140225,浑源县,大同市
292,140226,左云县,大同市
293,140227,大同县,大同市
294,140300,阳泉市,阳泉市
295,140301,市辖区,市辖区
296,140302,城区,阳泉市
297,140303,矿区,阳泉市
298,140311,郊区,阳泉市
299,140321,平定县,阳泉市
300,140322,盂县,阳泉市
301,140400,长治市,长治市
302,140401,市辖区,市辖区
303,140402,城区,长治市
304,140403,潞州区,长治市
305,140404,上党区,长治市
306,140405,屯留区,长治市
307,140406,潞城区,长治市
308,140411,郊区,长治市
309,140421,长治县,长治市
310,140423,襄垣县,长治市
311,140424,屯留县,长治市
312,140425,平顺县,长治市
313,140426,黎城县,长治市
314,140427,壶关县,长治市
315,140428,长子县,长治市
316,140429,武乡县,长治市
317,140430,沁县,长治市
318,140431,沁源县,长治市
319,140481,潞城市,长治市
320,140500,晋城市,晋城市
321,140501,市辖区,市辖区
322,140502,城区,晋城市
323,140521,沁水县,晋城市
324,140522,阳城县,晋城市
325,140524,陵川县,晋城市
326,140525,泽州县,晋城市
327,140581,高平市,晋城市
328,140600,朔州市,朔州市
329,140601,市辖区,市辖区
330,140602,朔城区,朔州市
331,140603,平鲁区,朔州市
332,140621,山阴县,朔州市
333,140622,应县,朔州市
334,140623,右玉县,朔州市
335,140624,怀仁县,朔州市
336,140681,怀仁市,朔州市
337,140700,晋中市,晋中市
338,140701,市辖区,市辖区
339,140702,榆次区,晋中市
340,140703,太谷区,晋中市
341,140721,榆社县,晋中市
342,140722,左权县,晋中市
343,140723,和顺县,晋中市
344,140724,昔阳县,晋中市
345,140725,寿阳县,晋中市
346,140726,太谷县,晋中市
347,140727,祁县,晋中市
348,140728,平遥县,晋中市
349,140729,灵石县,晋中市
350,140781,介休市,晋中市
351,140800,运城市,运城市
352,140801,市辖区,市辖区
353,140802,盐湖区,运城市
354,140821,临猗县,运城市
355,140822,万荣县,运城市
356,140823,闻喜县,运城市
357,140824,稷山县,运城市
358,140825,新绛县,运城市
359,140826,绛县,运城市
360,140827,垣曲县,运城市
361,140828,夏县,运城市
362,140829,平陆县,运城市
363,140830,芮城县,运城市
364,140881,永济市,运城市
365,140882,河津市,运城市
366,140900,忻州市,忻州市
367,140901,市辖区,市辖区
368,140902,忻府区,忻州市
369,140921,定襄县,忻州市
370,140922,五台县,忻州市
371,140923,代县,忻州市
372,140924,繁峙县,忻州市
373,140925,宁武县,忻州市
374,140926,静乐县,忻州市
375,140927,神池县,忻州市
376,140928,五寨县,忻州市
377,140929,岢岚县,忻州市
378,140930,河曲县,忻州市
379,140931,保德县,忻州市
380,140932,偏关县,忻州市
381,140981,原平市,忻州市
382,141000,临汾市,临汾市
383,141001,市辖区,市辖区
384,141002,尧都区,临汾市
385,141021,曲沃县,临汾市
386,141022,翼城县,临汾市
387,141023,襄汾县,临汾市
388,141024,洪洞县,临汾市
389,141025,古县,临汾市
390,141026,安泽县,临汾市
391,141027,浮山县,临汾市
392,141028,吉县,临汾市
393,141029,乡宁县,临汾市
394,141030,大宁县,临汾市
395,141031,隰县,临汾市
396,141032,永和县,临汾市
397,141033,蒲县,临汾市
398,141034,汾西县,临汾市
399,141081,侯马市,临汾市
400,141082,霍州市,临汾市
401,141100,吕梁市,吕梁市
402,141101,市辖区,市辖区
403,141102,离石区,吕梁市
404,141121,文水县,吕梁市
405,141122,交城县,吕梁市
406,141123,兴县,吕梁市
407,141124,临县,吕梁市
408,141125,柳林县,吕梁市
409,141126,石楼县,吕梁市
410,141127,岚县,吕梁市
411,141128,方山县,吕梁市
412,141129,中阳县,吕梁市
413,141130,交口县,吕梁市
414,141181,孝义市,吕梁市
415,141182,汾阳市,吕梁市
416,150000,内蒙古自治区,内蒙古自治区
417,150100,呼和浩特市,呼和浩特市
418,150101,市辖区,市辖区
